"country","fatf","fin_secrecy","us_incsr","ti_cpi","wb_business_disclosure","wef_auditing_and_reporting_std","wef_security_exchange_reg","wb_fin_sector_reg","open_budget","wb_transpar_account_corruption","wef_instit_strength","rule_of_law","idea_political_disclosure","freedom_house","ML_TF","CORRUPTION_RISK","FIN_TRANSPAR_STD","PUBLIC_TRANSPAR_ACCOUNT","POLITICAL_LEGAL_RISK","OVERALL_SCORE"
"AFGHANISTAN",8.40277777777778,NA,10,9.2,9,NA,NA,8,4.1,8,NA,7.2,2.5,7.75555555555556,8.80208333333333,9.2,8.5,4.86666666666667,7.47777777777778,8.53357638888889
"ALBANIA",5.625,NA,5,6.9,2,5.33333333333333,8.5,NA,5.3,NA,5.25714285714286,5,0,3.85555555555556,5.46875,6.9,6.21428571428571,2.65,4.7042328042328,5.5445419973545
"ALGERIA",7.23404255319149,NA,5,6.4,4,6.66666666666667,8.33333333333333,NA,8.7,NA,5.65714285714286,5.7,2.5,6.96666666666667,6.67553191489362,6.4,7,5.6,6.10793650793651,6.61449257007768
"ANDORRA*",4.79166666666667,5.47297297297297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.433333333333333,5.10135135135135,NA,NA,2.5,0.433333333333333,4.61672672672673
"ANGOLA",6.80555555555555,NA,5,7.7,5,7,9.5,7,7.2,7,6.05714285714286,6.5,2.5,7.3,6.35416666666667,7.7,7.6875,5.56666666666667,6.61904761904762,6.66261904761905
"ANGUILLA*",4.14965986394558,6.35135135135135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15042872185729,NA,NA,NA,NA,5.15042872185729
"ANTIGUA AND BARBUDA***",6.66666666666667,5.94594594594595,10,NA,6,NA,NA,NA,NA,NA,NA,NA,7.5,2.41111111111111,6.9022869022869,NA,6,7.5,2.41111111111111,6.5356022689356
"ARGENTINA",7.89115646258503,NA,10,6.6,4,5.33333333333333,5.83333333333333,NA,5,NA,5.92857142857143,4.2,2.5,2.81111111111111,8.41836734693878,6.6,5.35714285714286,3.75,4.31322751322751,7.33867157974301
"ARMENIA",4.79166666666667,NA,NA,6.4,4,4.33333333333333,5.83333333333333,4,NA,5,4.31428571428571,5.2,0,5.95555555555556,4.79166666666667,6.4,4.8125,2.5,5.15661375661376,4.85928902116402
"ARUBA*",6.31205673758865,6.68918918918919,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25525279780599,NA,NA,NA,NA,6.25525279780599
"AUSTRALIA",4.76190476190476,7.36486486486486,10,1.9,2,2,2.5,NA,NA,NA,2.8,NA,2.5,0.733333333333333,6.56890406890407,1.9,2.21428571428571,2.5,1.76666666666667,5.00526383526384
"AUSTRIA",3.33333333333333,8.98648648648649,10,3.1,5,2.16666666666667,4.16666666666667,NA,NA,NA,2.75714285714286,NA,6.25,0.7,6.53326403326403,3.1,3.42857142857143,6.25,1.72857142857143,5.46983590733591
"AZERBAIJAN",7.5177304964539,NA,5,7.2,3,4.66666666666667,5.5,6,5.8,7,4.2,6.2,0,8.35555555555556,6.88829787234043,7.2,4.9375,4.26666666666667,6.25185185185185,6.4639445429472
"BAHAMAS*",4.42176870748299,7.97297297297297,10,2.9,8,NA,NA,NA,NA,NA,NA,NA,7.5,0.666666666666667,6.64580593152022,2.9,8,7.5,0.666666666666667,6.21810718882147
"BAHRAIN",4.79166666666667,9.25675675675676,5,5.2,2,2,2.83333333333333,NA,NA,NA,3.18571428571429,6,7.5,8.45555555555556,6.54106029106029,5.2,2.35714285714286,7.5,5.88042328042328,5.79428178178178
"BANGLADESH",7.14285714285714,NA,5,7.3,4,5.66666666666667,6.66666666666667,6,4.2,7,5.6,5.7,1.25,4.57777777777778,6.60714285714286,7.3,5.875,4.15,5.29259259259259,6.37802248677249
"BARBADOS",4.96598639455782,8.51351351351351,5,2.5,8,2.33333333333333,3,NA,NA,NA,3.14285714285714,NA,7.5,0.6,6.33565276422419,2.5,3.42857142857143,7.5,1.87142857142857,5.35103143960287
"BELARUS*",5.46099290780142,NA,5,7.1,3,NA,NA,NA,NA,NA,NA,7,7.5,9.21111111111111,5.34574468085106,7.1,3,7.5,8.10555555555555,5.41501182033097
"BELGIUM",2.43055555555556,7.63513513513514,5,2.5,2,2.66666666666667,3.5,NA,NA,NA,2.85714285714286,NA,0,0.366666666666667,4.82761607761608,2.5,2.92857142857143,0,1.61190476190476,3.9078314028314
"BELIZE***",6.87074829931973,6.89189189189189,10,NA,7,NA,NA,NA,NA,NA,NA,NA,7.5,1.28888888888889,7.36030378887522,NA,7,7.5,1.28888888888889,6.97071323023704
"BENIN",7.84722222222222,NA,5,6.4,4,5.33333333333333,7.16666666666667,6,9.9,5,5.2,3.5,1.25,2.31111111111111,7.13541666666667,6.4,5.9375,5.38333333333333,3.67037037037037,6.62133101851852
"BERMUDA*",5.71428571428571,9.18918918918919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29378729378729,NA,NA,NA,NA,7.29378729378729
"BHUTAN**",NA,NA,NA,3.7,6,3.83333333333333,5.66666666666667,6,NA,3,3.71428571428571,3,0,4.74444444444444,NA,3.7,5.0625,1.5,3.81957671957672,3.98672524565382
"BOLIVIA",7.48299319727891,NA,10,6.6,9,5.5,5.16666666666667,5,8.8,5,5.14285714285714,4,5,3.82222222222222,8.11224489795918,6.6,5.75,6.26666666666667,4.32169312169312,7.32487717309146
"BOSNIA-HERZEGOVINA",6.18055555555556,NA,5,5.8,7,5.16666666666667,5.5,4,5,6,4.47142857142857,3.5,1.25,3.88888888888889,5.88541666666667,5.8,5.375,4.08333333333333,3.95343915343915,5.61360945767196
"BOTSWANA",7.5,6.41891891891892,NA,3.6,3,3.33333333333333,4.5,NA,5,NA,3.32857142857143,2.2,3.75,3.03333333333333,7.00859950859951,3.6,3.78571428571429,4.375,2.85396825396825,5.84489523614524
"BRAZIL",5.24822695035461,8.31081081081081,10,5.8,4,2.83333333333333,2,NA,2.7,NA,4.67142857142857,2.2,0,2.61111111111111,7.15718582739859,5.8,2.64285714285714,1.35,3.16084656084656,5.85414168727998
"BRUNEI",7.15277777777778,5.54054054054054,NA,4,6,3.33333333333333,5.83333333333333,NA,NA,NA,2.91428571428571,NA,NA,7.5,6.41994266994267,4,4.78571428571429,NA,5.20714285714286,5.84334423281792
"BULGARIA",3.125,NA,5,5.9,0,4.16666666666667,6,NA,3.5,NA,5.17142857142857,2,0,2.41111111111111,3.59375,5.9,4.35714285714286,1.75,3.19417989417989,3.82671792328042
"BURKINA FASO",8.40277777777778,NA,NA,6.2,4,4.83333333333333,6.66666666666667,6,7.7,5,5.22857142857143,5.7,6.25,4.8,8.40277777777778,6.2,5.5625,6.31666666666667,5.24285714285714,7.49415674603175
"BURUNDI**",NA,NA,NA,7.9,2,6.83333333333333,8.5,6,NA,8,6.02857142857143,6,7.5,6.91111111111111,NA,7.9,6.75,7.75,6.31322751322751,7.15903250188965
"CAMBODIA",9.05797101449275,NA,10,8,5,5.16666666666667,5.83333333333333,6,8.5,8,4.84285714285714,7.5,7.5,7.2,9.29347826086957,8,5.5,8,6.51428571428571,8.3914751552795
"CAMEROON**",NA,NA,NA,7.5,4,5.5,6.66666666666667,6,9,7,5.21428571428571,6,7.5,7.75555555555556,NA,7.5,5.8125,7.83333333333333,6.32328042328042,6.65630196523054
"CANADA",4.62585034013605,9.05405405405405,10,1.9,2,1.5,2.66666666666667,NA,NA,NA,2.31428571428571,NA,1.25,0.633333333333333,7.15579787008358,1.9,2.07142857142857,1.25,1.47380952380952,5.28817337745909
"CAPE VERDE",8.40277777777778,NA,NA,4.2,9,5.33333333333333,5.66666666666667,4,NA,3,4.38571428571429,NA,1.25,0.9,8.40277777777778,4.2,5.75,2.125,2.64285714285714,6.98269841269841
"CAYMAN ISLANDS***",3.19727891156463,9.7972972972973,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.78231999660571,NA,NA,NA,NA,6.78231999660571
"CENTRAL AFRICAN REPUBLIC*",NA,NA,NA,7.5,4,NA,NA,7,NA,7,NA,6.7,7.5,9.23333333333333,NA,7.5,5.5,7.25,7.96666666666667,6.67380952380952
"CHAD**",NA,NA,NA,8.1,4,6.33333333333333,8.16666666666667,7,9.7,8,6.37142857142857,7.7,NA,8.61111111111111,NA,8.1,6.8125,8.85,7.56084656084656,7.57833522297808
